,IRIS,COM,ANNEE,P_POP,P_POP0002,P_POP0305,P_POP0610,P_POP1117,P_POP1824,P_POP2539,P_POP4054,P_POP5564,P_POP6579,P_POP80P
25,690810101,69081,2011,1768.7861005346438,104.53132274159586,71.80900421738377,170.9149692178864,163.1394575163037,160.62881071215537,330.7418848873649,326.004225084685,186.36131330337386,187.09439627901588,67.56071657487908
26,690810105,69081,2011,2177.083387720074,38.43418013461672,56.47235375354707,187.6413030060351,240.23087737371318,227.19381471804112,271.2870354504929,488.9989459095444,266.6042014235252,289.86102002905403,110.35965592150407
27,690810302,69081,2012,2856.791822850509,83.99097239163402,68.54563293026355,123.54636215286494,222.60298969109027,205.10300099606025,378.52704970028157,456.31316595645234,372.7066214462673,636.5991292081085,308.8568983774864
28,690810301,69081,2012,2782.3033252199084,110.82074722724374,84.29283813924614,169.27773960858383,269.70329142731424,271.07981099132627,484.38454334343857,556.7474921216941,343.9626548172822,365.9274215768136,126.10678596696586
29,690810202,69081,2012,1825.244790732378,29.17760915068187,39.70874737634131,98.39674042773086,89.10959368812927,237.4242002140967,319.8266926348238,270.5949380438194,212.90275308220396,272.906712412975,255.19680370157582
30,690810201,69081,2012,2431.33199042123,58.32868958897998,86.66969094094699,109.31506674236637,225.45659671747225,753.5631887869455,365.47527360651486,364.75472775346117,141.48648160192076,236.7393167443833,89.54295793823871
31,690810105,69081,2012,2239.2564333530645,49.16817438859211,76.34399235062406,184.83015680843872,226.29129924063378,261.5588242271358,307.6705819336326,499.0103907520129,269.99623952569715,257.14509791938633,107.24167620691127
32,690810103,69081,2012,91.59499374887574,0.0,0.0,3.29155683442528,13.16622733770112,15.62221629815668,10.59781415392786,23.13736558615169,7.09736535101015,18.68244818750295,0.0
33,690810102,69081,2012,1821.7812832417487,86.89131594361173,87.05273687085543,111.88745904840874,138.69078617087777,133.9401503879354,343.3174343688371,339.8202837231758,189.65679817883918,229.08518277605046,161.43913577315712
34,690810101,69081,2012,1904.1680260988342,116.7713148473418,102.9195490016125,191.28132221193934,164.35095062595636,170.73189187966923,348.41917628068995,332.9263663908885,200.23423467338637,210.48564426889084,66.04757591845922
