,IRIS,COM,ANNEE,P_LOG,P_MAISON,P_APPART
0,690810101,69081,2009,718.984742,0.0,710.92731
1,690810102,69081,2009,806.983256,170.342442,636.640814
2,690810103,69081,2009,29.999345,29.999345,0.0
3,690810104,69081,2009,652.986585,625.564053,27.422532
4,690810105,69081,2009,872.482534,304.681604,565.373203
5,690810201,69081,2009,445.460181,83.099919,362.360262
6,690810202,69081,2009,1159.908651,117.874321,1042.03433
7,690810301,69081,2009,1684.159431,343.289275,1311.382385
8,690810302,69081,2009,1249.379191,241.154536,999.039979
9,690810302,69081,2010,1435.520814,310.017057,1115.08927
10,690810301,69081,2010,1222.017584,232.879019,982.820465
11,690810201,69081,2010,856.011377,101.766738,754.244639
12,690810105,69081,2010,881.012499,323.176338,555.285806
13,690810202,69081,2010,1035.514643,124.271241,911.243402
14,690810103,69081,2010,29.50045,29.50045,0.0
15,690810102,69081,2010,806.011521,179.19641,623.775239
16,690810101,69081,2010,719.010702,0.0,710.606715
17,690810104,69081,2010,657.509522,586.76654,70.742982
18,690810302,69081,2011,1437.9849387029803,328.0341170074562,1099.9908925711786
19,690810301,69081,2011,1250.9867644673761,210.97423098018896,1033.8754835690777
20,690810202,69081,2011,1031.9896970309876,161.14008007886363,867.4829139769295
21,690810201,69081,2011,858.4919414128259,102.15944444641251,756.3324969664134
22,690810105,69081,2011,884.4907457135226,322.87190290520516,559.018874688286
23,690810103,69081,2011,29.99966545231595,29.99966545231595,0.0
24,690810102,69081,2011,804.4915634481423,186.6739301603923,614.7006911265826
25,690810101,69081,2011,718.9921409751338,0.0,708.7441506553181
26,690810104,69081,2011,664.4929861201229,553.3558735578146,111.13711256230827
27,690810201,69081,2012,968.0096773239552,123.66820040923284,830.3413009426873
28,690810301,69081,2012,1276.0151102620287,219.7505304790581,1029.5142225635707
29,690810202,69081,2012,1032.511747223398,165.5923293541594,863.279520207696
30,690810105,69081,2012,886.01043878203,356.4334742623563,526.6789021925365
31,690810302,69081,2012,1436.0167286260007,313.2757293889411,1117.1377012608973
32,690810103,69081,2012,29.50037079821653,29.50037079821653,0.0
33,690810102,69081,2012,870.0100593420328,152.8079087090304,654.3100416221525
34,690810101,69081,2012,745.5092411542789,0.0,734.9287232931288
35,690810104,69081,2012,672.0080191470614,535.6371317428168,136.3708874042446
36,690810302,69081,2013,1433.534645629941,297.1534687254448,1131.4109816799971
37,690810301,69081,2013,1274.5309897737682,262.36881364100776,984.072876795467
38,690810202,69081,2013,1072.024518985538,161.04617222907805,907.3812663944768
39,690810201,69081,2013,1037.5219623483,93.48421383217678,893.6054478962178
40,690810105,69081,2013,890.5215501993491,338.3020964303206,552.2194537690285
41,690810104,69081,2013,683.5168731188365,547.6300254951591,135.8868476236775
42,690810103,69081,2013,29.00075312738296,29.00075312738296,0.0
43,690810102,69081,2013,872.5208159035496,154.79974174547257,654.7701946384838
44,690810101,69081,2013,745.5190978672701,0.0,736.1833249698185
45,690810301,69081,2014,1274.479062597739,341.5277732512525,903.7360395092902
46,690810302,69081,2014,1431.9772393882697,286.1946322164675,1145.782607171802
47,690810201,69081,2014,1105.484492730153,105.52194678809268,945.7007252746528
48,690810105,69081,2014,887.9859503697602,338.5032997601655,549.4826506095948
49,690810202,69081,2014,1093.4827682200716,132.38572154064036,957.9773519048496
50,690810103,69081,2014,28.9994960007467,28.9994960007467,0.0
51,690810102,69081,2014,894.985606662503,142.97296501221592,684.675650177839
52,690810101,69081,2014,718.98773336117,0.0,712.444732480718
53,690810104,69081,2014,689.4885016793498,502.1420579265396,187.34644375281025
54,690810302,69081,2015,1429.0293584967285,269.69685400828627,1159.332504488442
55,690810301,69081,2015,1275.5267071470118,360.1488999511317,884.9156033443819
56,690810201,69081,2015,1103.0185510398817,102.06104833007105,950.5228860036606
57,690810105,69081,2015,889.0181558217338,331.1857392563488,557.832416565385
58,690810202,69081,2015,1090.0220704141775,128.6245602987848,955.4232284723068
59,690810103,69081,2015,28.50064194406991,16.08693482459007,12.41370711947984
60,690810102,69081,2015,913.518850883397,158.57106155918194,684.7048627524804
61,690810101,69081,2015,719.0156443671414,0.0,713.8442329607416
62,690810104,69081,2015,693.0149338149175,533.2428282185396,159.772105596378
63,690810301,69081,2016,1283.530108861306,294.2934336226544,961.2617175121788
64,690810101,69081,2016,720.5177280260041,0.0,717.478711409712
65,690810102,69081,2016,909.0214426149116,162.41923828844122,676.4826065956629
66,690810103,69081,2016,29.00074752844032,17.79276261413824,11.20798491430208
67,690810104,69081,2016,701.017368818338,527.3783342361797,173.6390345821583
68,690810105,69081,2016,891.5206550955222,314.4325081617019,576.2881469338204
69,690810201,69081,2016,1118.021547451665,98.90943037309532,967.2678816215798
70,690810202,69081,2016,1133.525859478759,134.5529583278554,995.9759440781992
71,690810302,69081,2016,1453.5343244363482,260.37058543550177,1193.1637390008466
