,CODGEO,ANNEE,P_POP,P_POP0014,P_POP1529,P_POP3044,P_POP4559,P_POP6074,P_POP75P,C_POP15P_CS1,C_POP15P_CS2,C_POP15P_CS3,C_POP15P_CS4,C_POP15P_CS5,C_POP15P_CS6,C_POP15P_CS7,C_POP15P_CS8,P_POP01P_IRAN
0,69081,2009,18071.0,3492.074348,3935.214207,3033.517322,3216.267786,2655.848897,1738.077441,8.984577,423.363539,2320.668498,1854.226789,1873.68821,952.591977,3824.159376,3328.242534,
1,69081,2010,17998.0,3375.798579,4005.034946,2991.560245,3184.92266,2731.939423,1708.744147,12.898718,431.628533,2404.34316,1826.770244,1830.068253,933.78223,3786.477911,3403.232478,
2,69081,2011,17854.0,3251.0648225982904,4136.375749471765,2879.893507199844,3132.3370321506172,2623.028444833181,1831.30044374631,10.953879830609662,477.8794774742152,2298.538939278659,1763.681211928887,1791.4435099467814,963.6759265994806,3766.6263762640447,3537.1357780179133,1517.5230691123334
3,69081,2012,17742.0,3190.3544818182068,3863.441742438111,2835.5358441778762,3202.2524633562084,2717.7360189624033,1932.679449247197,8.24188223368822,508.87803798483225,2233.097576964315,1820.9516775870081,1727.1664654108702,994.5185989102414,3949.9464999618435,3293.2135197384755,1712.2067458013908
4,69081,2013,17787.0,3156.011563412348,4058.787113643916,2744.810654186584,3162.1538583283173,2623.3602981806216,2041.876512248213,11.03150136828942,553.3159430052798,2186.844280777174,1701.485863533588,1666.7488601810503,967.8717923019184,4015.015644730842,3515.85868641284,1701.41884833778
5,69081,2014,18028.0,3197.590034786996,4039.731341663478,2774.282483450096,3241.939352885473,2614.1453280335904,2160.3114591803733,15.14822157456691,576.7799579582681,2198.268321629078,1808.746725049978,1628.0464649885116,912.1955526982784,4092.492735194669,3588.732159912506,1677.8401649840762
6,69081,2015,17947.0,3287.0,3902.0,2748.0,3221.0,2618.0,2172.0,16.0,575.0,2225.0,1790.0,1561.0,850.0,4106.0,3527.0,1622.0
7,69081,2016,18097.0,3367.73662,3922.198922,2796.711107,3281.577053,2630.241395,2098.5349027,12.94747523,557.2869243,2261.298326,1801.680995,1709.28578,885.933474,3998.528873,3492.301275,1661.88012956
8,69081,2017,18517.0,3491.641338,4136.201826,2793.651973,3339.247028,2652.448718,2103.809118,13.01875813,608.5713444,2402.175818,1786.882457,1913.009223,854.5426301,3886.197616,3539.101749,1781.03987935
9,69081,2018,18587.0,3529.197459,4212.539202,2754.977515,3380.581329,2668.706844,2040.9976513000001,12.81575527,619.1905998,2508.476909,1818.203437,1873.546992,850.0588778,3730.896459,3623.184375,1851.0002016899998
